ID,ConditionFull,ChartNumber,TitleType,ChartType,Condition,ImageFileName,Title,TheContext,Question1Text,Q1OptionA,Q1OptionB,Q1OptionC,Q1OptionD,Q1CorrectAnswer,Question2Text,Q2OptionA,Q2OptionB,Q2OptionC,Q2OptionD,Q2CorrectAnswer,Question3Text,Q3OptionA,Q3OptionB,Q3OptionC,Q3OptionD,Q3CorrectAnswer,Order,V1,V2,V3,V4
1,Chart 1DC,Chart 1,descriptive,complex,DC,images/imageChart1DC.PNG,צפיות בסרטים של מבוגרים ונוער לפי ז'אנר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. ,באיזה ז'אנר ישנו פער גדול ביותר בין בני ובנות נוער למבוגרים?,פעולה,קומדיה,משפחה,אנימציה,B,איזה ז'אנר של סרטים הכי פחות פופולרי  בקרב מבוגרים? ,פעולה,קומדה,משפחה,אנימציה,C,מה היו צבעי הגרף?,ירוק וצהוב,כחול וכתום,אפר וסגול,אדום ושחור,ירוק וצהוב,1,1,,,
2,Chart 1DS,Chart 1,descriptive,simple,DS,images/imageChart1DS.PNG,צפיות בסרטים לפי ז'אנר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. ,"מתוך נתונים שנאספו על צופי נטפליקס, איזה ז'אנר של סרטים הוא הפופולרי ביותר? ",פעולה,קומדיה,משפחה,אנימציה,B,איזה ז'אנר של סרטים הכי פחות פופולרי? ,פעולה,קומדה,משפחה,אנימציה,C,מה היה צבע הגרף?,ירוק,כחול,כתום,שחור,ירוק,1,,1,,
3,Chart 1MC,Chart 1,message,complex,MC,images/imageChart1MC.PNG,בז'אנר קומדיה קיים פער גדול ביותר בין בני ובנות נוער למבוגרים,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. ,באיזה ז'אנר ישנו פער גדול ביותר בין בני ובנות נוער למבוגרים?,פעולה,קומדיה,משפחה,אנימציה,B,איזה ז'אנר של סרטים הכי פחות פופולרי  בקרב מבוגרים? ,פעולה,קומדיה,משפחה,אנימציה,C,מה היו צבעי הגרף?,ירוק וצהוב,כחול וכתום,אפר וסגול,אדום ושחור,ירוק וצהוב,1,,,1,
4,Chart 1MS,Chart 1,message,simple,MS,images/imageChart1MS.PNG,סרטי קומדיה הן הז'אנר הפופולרי ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. ,"מתוך נתונים שנאספו על צופי נטפליקס, איזה ז'אנר של סרטים הוא הפופולרי ביותר? ",פעולה,קומדיה,משפחה,אנימציה,B,איזה ז'אנר של סרטים הכי פחות פופולרי? ,פעולה,קומדיה,משפחה,אנימציה,C,מה היה צבע הגרף?,ירוק,כחול,כתום,שחור,ירוק,1,,,,1
5,Chart 2DC,Chart 2,descriptive,complex,DC,images/imageChart2DC.PNG,גלישה באינטרנט לפי מטרת הגלישה בשנת 2016 ו-2021,השקף הבא מציג את נתוני תוצאות סקר על הרגלי הגלישה באינטרנט של בני 20 ומעלה לפי מטרת הגלישה,"מתוך נתונים שנאספו על מטרת הגלישה באינטרנט, באיזו מהמטרות נמדדה העלייה הקטנה ביותר בין 2016 ל 2021?",משחקים,תשלומים,קניות,רשתות חברתיות,A,איזו מטרת גלישה היא הפופולרית ביותר בשנת 2021?,קניות,משחקים,תשלומים,רשתות חברתיות,D,מה היו צבעי הגרף?,ירוק וצהוב,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,2,,,,1
6,Chart 2DS,Chart 2,descriptive,simple,DS,images/imageChart2DS.PNG,גלישה באינטרנט לפי מטרת הגלישה,השקף הבא מציג את נתוני תוצאות סקר על הרגלי הגלישה באינטרנט של בני 20 ומעלה לפי מטרת הגלישה,"מתוך נתונים שנאספו על מטרת הגלישה באינטרנט, איזו מטרה היא הכי פחות פופולרית? ",משחקים,תשלומים,קניות,רשתות חברתיות,A,מה מטרת הגלישה הפופולרית ביותר? ,קניות,משחקים,תשלומים,רשתות חברתיות,D,מה היה צבע הגרף?,ירוק,כחול,סגול,שחור,ירוק,2,1,,,
7,Chart 2MC,Chart 2,message,complex,MC,images/imageChart2MC.PNG,"העלייה בגלישה הקטנה ביותר, בין 2016 ל 2021, היא למטרת משחקים",השקף הבא מציג את נתוני תוצאות סקר על הרגלי הגלישה באינטרנט של בני 20 ומעלה לפי מטרת הגלישה,"מתוך נתונים שנאספו על מטרת הגלישה באינטרנט, באיזו מהמטרות נמדדה העלייה הקטנה ביותר בין 2016 ל 2021?",משחקים,תשלומים,קניות,רשתות חברתיות,A,איזו מטרת גלישה היא הפופולרית ביותר בשנת 2021?,קניות,משחקים,תשלומים,רשתות חברתיות,D,מה היו צבעי הגרף?,ירוק וצהוב,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,2,,1,,
8,Chart 2MS,Chart 2,message,simple,MS,images/imageChart2MS.PNG,גלישה באינטרנט למטרת משחקים היא הכי פחות פופולרית,השקף הבא מציג את נתוני תוצאות סקר על הרגלי הגלישה באינטרנט של בני 20 ומעלה לפי מטרת הגלישה,"מתוך נתונים שנאספו על מטרת הגלישה באינטרנט, איזו מטרה היא הכי פחות פופולרית? ",משחקים,תשלומים,קניות,רשתות חברתיות,A,מה מטרת הגלישה הפופולרית ביותר? ,קניות,משחקים,תשלומים,רשתות חברתיות,D,מה היה צבע הגרף?,ירוק,כחול,סגול,שחור,ירוק,2,,,1,
9,Chart 3DC,Chart 3,descriptive,complex,DC,images/imageChart3DC.PNG,צורך במיומנויות של מועסקים אקדמאיים ושל מנהלים בכירים,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על הצורך במיומנויות של מועסקים בעלי השכלה אקדמית, איזו מיומנות דורגה עם הצורך הנמוך ביותר, שיש בה את הפער הגדול ביותר בין כלל המועסקים למנהלים בכירים? ",ידע מקצועי,מיומנויות טכנולוגיות,מיומנויות למידה,יכולות מתמטיות,D,איזו מיומנות דורגה עם הצורך הגבוה ביותר עבור כלל המועסקים? ,מיומנויות למידה,יכולות מתמטיות,ידע מקצועי,מיומנויות טכנולוגיות,C,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,3,,,1,
10,Chart 3DS,Chart 3,descriptive,simple,DS,images/imageChart3DS.PNG,צורך במיומנויות בשוק העבודה של מועסקים אקדמאיים,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על הצורך במיומנויות של עובדים בשוק העבודה, איזה מיומנות היא עם הצורך הנמוך ביותר? ",ידע מקצועי,מיומנויות טכנולוגיות,מיומנויות למידה,יכולות מתמטיות,D,איזו מיומנות דורגה עם הצורך הגבוה ביותר? ,מיומנויות למידה,יכולות מתמטיות,ידע מקצועי,מיומנויות טכנולוגיות,C,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,3,,,,1
